Producto,"Categoría",Imagen,Falta
agua,null,"",""
dentifrico,null,"",""
kiwi,null,"",""
"acuario de naranja",null,"",""
nestea,null,"",""
"ambientador de water",null,"",""
"ambientador de baño",null,"",""
"ambientador de tapicerías",null,"",""
magdalenas,null,"",""
"detergente de lavadora",null,"",""
"detergente de lavavajillas",null,"",""
"queso semicurado",null,"",""
"queso tierno",null,"",""
"queso en lonchas havarti",null,"",""
"queso en lonchas semicurado",null,"",""
"queso en lonchas edam",null,"",""
"jamón de york",null,"",""
"lonchas de pavo",null,"",""
"lonchas de pollo",null,"",""
"pimientos verdes",null,"",""
"pimiento rojo",null,"",""
alcachofas,null,"",""
"mejillones en escabeche",null,"",""
"mejillones ",null,"",""
harina,null,"",""
"pan rallado",null,"",""
croissants,null,"",""
macarrones,null,"",""
"pasta de lentejas",null,"",""
calabacin,null,"",""
arroz,null,"",""
"arroz bomba",null,"",""
"cúrcuma",null,"",""
colorante,null,"",""
"azafrán en hebra",null,"",""
mayonesa,null,"",""
alioli,null,"",""
ketchup,null,"",""
"cerveza en lata sin",null,"",""
"cerveza en lata",null,"",""
"tinto de verano cero cero",null,"",""
"caña de lomo",null,"",""
"boquerones en vinagre",null,"",""
boquerones,null,"",""
"sardinas en conserva",null,"",""
sardinas,null,"",""
lenguados,null,"",""
"pechuga de pavo",null,"",""
"pechuga de pollo entera",null,"",""
"contramuslos deshuesados",null,"",""
"leche semidesnatada",null,"",""
"leche con proteinas",null,"",""
bacalao,null,"",""
pota,null,"",""
patatas,null,"",""
"patatas fritas",null,"",""
doritos,null,"",""
gusanitos,null,"",""
"melva en conserva",null,"",""
"bonito de norte en aceite",null,"",""
"atún en aceite",null,"",""
"fideos cero",null,"",""
espaguetis,null,"",""
"salsa para pasta",null,"",""
calamares,null,"",""
"judías verdes",null,"",""
acelgas,null,"",""
batatas,null,"",""
"pan cuadrado",null,"",""
"pan de chapata",null,"",""
"pan de barra integral",null,"",""
"pan de molde",null,"",""
"pan de molde integral",null,"",""
"mermelada de fresa",null,"",""
"mermelada de ciruela",null,"",""
"mermelada de melocotón",null,"",""
"mermelada de albaricoque",null,"",""
uvas,null,"",""
"yogur griego",null,"",""
kefir,null,"",""
"pimientos asados",null,"",""
"croquetas de merluza",null,"",""
"nuggets de pollo",null,"",""
pisto,null,"",""
sacarina,null,"",""
quesitos,null,"",""
"pañuelos en caja",null,"",""
"pañuelos en paquete",null,"",""
"papel higiénico",null,"",""
"papel de cocina",null,"",""
"toallitas de water",null,"",""
multiusos,null,"",""
"abrillantador de lavavajillas",null,"",""
"fideos chinos",null,"",""
"jamón serrano",null,"",""
"tortas de aceite",null,"",""
"tomate de ensalada",null,"",""
"tomate tamizado",null,"",""
bananas,null,"",""
cava,null,"",""
"caldo de pollo",null,"",""
"caldo de pescado",null,"",""
"pez de limón",null,"",""
langostinos,null,"",""
gambas,null,"",""
